Compliance,Bank Sponsorship,KE,Sponsorship by Credit Bank,,"Prelimiary meeting, alignment on next steps",John Odero,Edward,P1,Green,N/A,,01-Jan-26,30-Apr-26,86,Complete,100%,,,,,,,, ,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by Co-op Bank,Compliance with regulator,"Prelimiary meeting, alignment on next steps",John Odero,John,P2,Green,N/A,N/A,03-Mar-26,30-May-26,64,In Progress,30%,,,,,,,, ,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by UBA,Compliance with regulator,Introduction & agenda setting,John Odero,John,P1,Green,N/A,,03-Mar-26,30-May-26,64,Complete,100%,,,,,,,, ,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by UBA,Compliance with regulator,InTouch to share MT transfer licenses held in countries where it currently operates this service,John Odero,John,P1,Green,N/A,,03-Mar-26,30-May-26,64,Complete,100%,,,,,,,, ,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by UBA,Compliance with regulator,UBA to share the checklist with InTouch,John Odero,John,P1,Green,N/A,,03-Mar-26,30-May-26,64,Not Started ,100%,,,,,,,, ,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by UBA,Compliance with regulator,InTouch to consolidate documents for account opening and share with UBA,John Odero,John,P1,Green,N/A,,03-Mar-26,30-May-26,64,Not Started ,50%,,,,,,,, ,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by UBA,Compliance with regulator,UBA to Review Docs and Open a bank account for InTouch.,John Odero,John,P1,Green,N/A,,03-Mar-26,30-May-26,64,Not Started ,0%,,,,,,,, ,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by UBA,Compliance with regulator,UBA to submit application to Regularor,John Odero,John,P1,Green,N/A,,03-Mar-26,30-May-26,64,Not Started ,0%,,,,,,,, ,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by UBA,Compliance with regulator,Regulator Validates Letter of No Objection,John Odero,John,P1,Green,N/A,,03-Mar-26,30-May-26,64,Not Started ,0%,,,,,,,, ,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by UBA,Compliance with regulator,Commercials with UBA & Contract Signing,John Odero,John,P1,Green,N/A,,03-Mar-26,30-May-26,64,Not Started ,0%,,,,,,,, ,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by Choice Bank,Compliance with regulator,"Introduction, First Demo & Agenda setting",P1,Green,P1,Green,N/A,N/A,20-Jul-26,30-Sept-26,53,Complete,100%,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by Choice Bank,Compliance with regulator,Product Demo with IMT team - Choice Banking,P1,Green,P1,Green,N/A,N/A,20-Jul-26,30-Sept-26,53,Complete,100%,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by Choice Bank,Compliance with regulator,"KYC, KYB validation & Submission by InTouch",P1,Green,P1,Green,N/A,N/A,20-Jul-26,30-Sept-26,53,In Progress,20%,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by Choice Bank,Compliance with regulator,"KYC, KYB validation by Choice Bank",P1,Amber,P1,Green,N/A,N/A,20-Jul-26,30-Sept-26,53,Not Started ,0%,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by Choice Bank,Compliance with regulator,Sandbox to be shared by Choice Bank,P1,Green,P1,Green,N/A,N/A,20-Jul-26,30-Sept-26,53,Not Started ,0%,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by Choice Bank,Compliance with regulator,Sandbox to be shared by Choice Bank,P1,Green,P1,Green,N/A,N/A,20-Jul-26,30-Sept-26,53,Not Started ,0%,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by Choice Bank,Compliance with regulator,Service Integration,P1,Green,P1,Green,N/A,N/A,20-Jul-26,30-Sept-26,53,Not Started ,0%,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by Choice Bank,Compliance with regulator,Commercials with Choicebank & Contract Signing,P1,Green,P1,Green,N/A,N/A,20-Jul-26,30-Sept-26,53,Not Started ,0%,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by Choice Bank,Compliance with regulator,Issuance of Sponsorship (Ride on Agency) for IMT,P1,Green,P1,Green,N/A,N/A,20-Jul-26,30-Sept-26,53,Not Started ,0%,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by KCB,Compliance with regulator,Introduction & Agenda setting,P1,Green,P1,Green,N/A,N/A,03-Jul-26,30-Sept-26,64,Complete,100%,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by KCB,Compliance with regulator,Product Demo with Agency Banking Team,P1,Green,P1,Green,N/A,N/A,03-Jul-26,30-Sept-26,64,Complete,100%,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by KCB,Compliance with regulator,Discovery Call and Demo with IMT Team,,,P1,Green,N/A,N/A,03-Jul-26,30-Sept-26,64,In Progress,50%,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by KCB,Compliance with regulator,Agency Banking Account Finalization,P1,Green,P1,Amber,N/A,N/A,03-Jul-26,30-Sept-26,64,Not Started ,0%,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by KCB,Compliance with regulator,Go Live with Agency Banking,P1,Green,P1,Green,N/A,N/A,03-Jul-26,30-Sept-26,64,Not Started ,30%,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by KCB,Compliance with regulator,KYB/KYC submission to the Bank,P1,Green,P1,Green,N/A,N/A,03-Jul-26,30-Sept-26,64,Not Started ,30%,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by KCB,Compliance with regulator,Commercials with KCB & Contract Signing,P1,Green,P1,Green,N/A,N/A,03-Jul-26,30-Sept-26,64,Not Started ,30%,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by KCB,Compliance with regulator,Issuance of Sponsorship (Ride on Agency) for IMT,P1,Green,P1,Green,N/A,N/A,03-Jul-26,30-Sept-26,64,Not Started ,30%,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by Ecobank,Compliance with regulator,Introduction & Agenda setting,John Odero,John,P1,Green,N/A,,03-Mar-26,30-May-26,64,Complete,100%,,,,,,,, ,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by Ecobank,Compliance with regulator,1st DEMO cross border,John Odero,John,P1,Green,N/A,,03-Mar-26,30-May-26,64,Complete,100%,,,,,,,, ,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by Ecobank,Compliance with regulator,InTouch to share Bcase with Ecobank,John Odero,John,P1,Green,N/A,,03-Mar-26,30-May-26,64,Complete,100%,,,,,,,, ,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by Ecobank,Compliance with regulator,Ecobank to share the checklist with InTouch,John Odero,John,P1,Green,N/A,,03-Mar-26,30-May-26,64,Not Started ,0%,,,,,,,, ,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by Ecobank,Compliance with regulator,InTouch to consolidate documents for account opening and share with Ecobank,John Odero,John,P1,Green,N/A,,03-Mar-26,30-May-26,64,Not Started ,0%,,,,,,,, ,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by Ecobank,Compliance with regulator,Ecobank to Review Docs and Open a bank account for InTouch.,John Odero,John,P1,Green,N/A,,03-Mar-26,30-May-26,64,Not Started ,0%,,,,,,,, ,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by Ecobank,Compliance with regulator,Ecobank to submit application to Regularor,John Odero,John,P1,Green,N/A,,03-Mar-26,30-May-26,64,Not Started ,0%,,,,,,,, ,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by Ecobank,Compliance with regulator,Regulator Validates Letter of No Objection,John Odero,John,P1,Green,N/A,,03-Mar-26,30-May-26,64,Not Started ,0%,,,,,,,, ,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by Ecobank,Compliance with regulator,Commercials with Ecobank & Contract Signing,John Odero,John,P1,Green,N/A,,03-Mar-26,30-May-26,64,Not Started ,0%,,,,,,,, ,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by NCBA,Compliance with regulator,Introduction & Agenda setting,John Odero,John,P1,Green,N/A,,01-Jan-26,30-Apr-26,86,Not Started ,100%,,,,,,,, ,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by NCBA,Compliance with regulator,Initial cross-border DEMO,John Odero,John,P1,Green,N/A,,01-Jan-26,30-Apr-26,86,Not Started ,100%,,,,,,,, ,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by NCBA,Compliance with regulator,InTouch to share Bcase with NCBA & 2nd DEMO,John Odero,John,P1,Green,N/A,,01-Jan-26,30-Apr-26,86,Not Started ,0%,,,,,,,, ,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by NCBA,Compliance with regulator,NCBA to share the checklist with InTouch,John Odero,John,P1,Green,N/A,,01-Jan-26,30-Apr-26,86,Not Started ,0%,,,,,,,, ,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by NCBA,Compliance with regulator,InTouch to consolidate documents for account opening and share with NCBA,John Odero,John,P1,Green,N/A,,01-Jan-26,30-Apr-26,86,Not Started ,0%,,,,,,,, ,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by NCBA,Compliance with regulator,NCBA to Review Docs and Open a bank account for InTouch.,John Odero,John,P1,Green,N/A,,01-Jan-26,30-Apr-26,86,Not Started ,0%,,,,,,,, ,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by NCBA,Compliance with regulator,NCBA to submit application to Regularor,John Odero,John,P1,Green,N/A,,01-Jan-26,30-Apr-26,86,Not Started ,0%,,,,,,,, ,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by NCBA,Compliance with regulator,Regulator Validates Letter of No Objection,John Odero,John,P1,Green,N/A,,01-Jan-26,30-Apr-26,86,Not Started ,0%,,,,,,,, ,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by NCBA,Compliance with regulator,Commercials with NCBA & Contract Signing,John Odero,John,P1,Green,N/A,,01-Jan-26,30-Apr-26,86,Not Started ,0%,,,,,,,, ,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by Credit Bank,Compliance with regulator,"Risk Assessement Document Validation ongoing with Legal, Group Owners",John Odero,Sokhna,P1,Red,N/A,,01-Jan-26,30-Apr-26,86,Not Started ,100%,,,,,,,, ,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by Credit Bank,Compliance with regulator,Submission of the Risk Assessement Doc (RAD) by InTouch to Credit Bank,John Odero,John,P1,Green,N/A,,01-Jan-26,30-Apr-26,86,Not Started ,100%,,,,,,,, ,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by Credit Bank,Compliance with regulator,Credit Bank share AML with InTouch,John Odero,John,P1,Green,N/A,,01-Jan-26,30-Apr-26,86,Not Started ,100%,,,,,,,, ,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by Credit Bank,Compliance with regulator,InTouch Ke shares AML Doc with group,John Odero,John,P1,Green,N/A,,01-Jan-26,30-Apr-26,86,Not Started ,100%,,,,,,,, ,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by Credit Bank,Compliance with regulator,AML doc completed; Group to share affiliate,John Odero,John,P1,Green,N/A,,01-Jan-26,30-Apr-26,86,Not Started ,100%,,,,,,,, ,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by Credit Bank,Compliance with regulator,InTouch KE shares AML doc with Credit Bank,John Odero,John,P1,Green,N/A,,01-Jan-26,30-Apr-26,86,Not Started ,100%,,,,,,,, ,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by Credit Bank,Compliance with regulator,Credit Bank to submits application for Letter of No Objection to Regulator,John Odero,John,P1,Red,N/A,,01-Jan-26,30-Apr-26,86,Not Started ,100%,,,,,,,, ,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by Credit Bank,Compliance with regulator,Regulator Validates Letter of No Objection,John Odero,John,P1,Red,N/A,,01-May-26,30-May-26,21,Not Started ,0%,,,,,,,, ,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by Credit Bank,Compliance with regulator,InTouch & Credit Bank agree on commercials (with Credit bank as agent),John Odero,Edward,P1,Amber,N/A,,01-May-26,30-May-26,21,Not Started ,0%,,,,,,,, ,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by Credit Bank,Compliance with regulator,Credit bank & InTouch sign the contract,John Odero,Edward,P1,Green,N/A,,01-Mar-26,30-Sept-26,153,Not Started ,0%,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by Co-op Bank,Compliance with regulator,2nd Meeting to review feedback,John Odero,John,P4,Green,N/A,N/A,01-Jul-26,30-Sept-26,66,In Progress,50%,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,UG,Sponsorship by Ecobank,Validation as a settlement bank,Discuss with RTC team (group) for validation,,,,,,,01-Jul-26,30-Sept-26,66,In Progress,50%,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,UG,Sponsorship by Ecobank,Validation as FX management bank,Discuss with RTC team (group) for validation,,,,,,,01-Jul-26,30-Sept-26,66,In Progress,50%,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,UG,Sponsorship by Ecobank,Compliance with regulator,Application for PSO/PSP,,,,,,,01-Jul-26,30-Sept-26,66,In Progress,50%,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,UG,Approval by the Regulator,Payment Service Operator (PSO),Data Centre Requirement application,,,,,,,01-Jul-26,30-Sept-26,66,Not Started ,0%,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,UG,Approval by the Regulator,Payment Service Provider (PSP),Trustee Arrangement Validation,John Odero,Georges,P2,Green,N/A,,01-Jul-26,30-Sept-26,66,Not Started ,0%,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,TZ,Acquire Sponsorship with a bank,Compliance with regulator,Details on Sheet,John Odero,Stephen,P2,Green,N/A,,03-Mar-26,30-May-26,64,Not Started ,0%,,,,,,,, ,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial,Fees & Revenues,Hub,Clarity on FX & Fee configured on BO, FX & Fee workshop,Fast-track the workshop by X to finalize FX application and its impact on fees,John Odero,EMG,P2,Red,N/A,,03-Mar-26,08-Mar-26,4,In Progress,0%,,,,,,u,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial,Fees & Revenues,Hub,Clarity on FX & Fee configured on BO,Retests,"Retest actual fees on the Back Office (BO) for Kenya, Uganda, Tanzania, and Nigeria",John Odero,EMG,P1,Green,N/A,,19-Jun-26,23-Jun-26,3,In Progress,0%,,,,,,,, ,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial,Local Community ,KE,Nigerian - Pot of Jollof - Cross Border,Boost CB Transactions ,2nd Meeting to review feedback,John Odero,John,P4,Green,N/A,,05-Mar-26,06-Mar-26,2,Blocked,100%,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial,Fees & Revenues,Hub,There is 0 (zero) Fee applied on MYTP Txns in BO,Transactions for MYTP not config to gen Revenues,"Propose Fee  (BU) 5%, apply on BO",John Odero,EMG,P1,Red,Yes,ISTD0626210446,03-Feb-26,08-Mar-26,24,Complete,100%,,,,,,u,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial,Fees & Revenues,Hub,Application of FX ,"No FX applied, float loss: Pilot & Confirmation",Daily rates communicated to MYTP BU by TP and applied,John Odero,Cheikh Marra,P2,Red,N/A,,05-Mar-26,31-Mar-26,19,In Progress,70%,,,,,,,, ,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial,Fees & Revenues,KE,Application of FX ,"No FX applied, float loss: Pilot & Confirmation",Support to test validity,John Odero,Zekaria Davis,P2,Amber,N/A,,05-Feb-26,20-Mar-26,32,In Progress,0%,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial,Fees & Revenues,UG,Application of FX ,"No FX applied, float loss: Pilot & Confirmation",Daily rates communicated to MYTP BU by TP and applied,John Odero,Cheikh Marra,P2,Red,N/A,,05-Mar-26,31-Mar-26,19,In Progress,70%,,,,,,,, ,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial,Fees & Revenues,UG,Application of FX ,"No FX applied, float loss: Pilot & Confirmation",Support to test validity,John Odero,Zekaria Davis,P2,Amber,N/A,,05-Feb-26,20-Mar-26,32,In Progress,0%,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial,Fees & Revenues,TZ,Application of FX ,"No FX applied, float loss: Pilot & Confirmation",Daily rates communicated to MYTP BU by TP and applied,John Odero,Cheikh Marra,P2,Red,N/A,,05-Mar-26,31-Mar-26,19,In Progress,70%,,,,,,,, ,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial,Fees & Revenues,NG,Application of FX ,"No FX applied, float loss: Pilot & Confirmation",Daily rates communicated to MYTP BU by TP and applied,John Odero,Cheikh Marra,P2,Green,N/A,,01-Jan-26,31-Mar-26,64,Complete,100%,,,,,,,, ,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial,Fees & Revenues,NG,Application of FX ,"No FX applied, float loss: Pilot & Confirmation",Support to test validity,John Odero,Colbert Obi,P2,Green,N/A,,01-Jan-26,20-Mar-26,57,Complete,100%,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial,Local Community ,KE,Nigerian - Pot of Jollof - Cross Border,Boost CB Transactions ,Introduce CB within restaurant: Call with Director,John Odero,John,P4,Amber,N/A,,05-Mar-26,06-Mar-26,2,Blocked,100%,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial,Local Community ,UG,Benin community,Boost CB Transactions ,Bights of Benin - Organize for planning in parallel,John Odero,John,P3,Amber,N/A,,05-Mar-26,06-Mar-26,2,Blocked,100%,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial,Local Community ,KE,Ivorian Community,Boost CB Transactions ,Demo & first meeting,John Odero,John,P4,Amber,N/A,,05-Mar-26,06-Mar-26,2,Blocked,100%,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial,Local Community ,KE,Ivorian Community,Boost CB Transactions ,Initiate documentation,John Odero,John,P4,Amber,N/A,,05-Mar-26,06-Mar-26,2,Blocked,100%,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial,Local Community ,KE,Nigerian - Pot of Jollof - Cross Border,Boost CB Transactions ,Physical Alighment at POJ,John Odero,John,P4,Amber,N/A,,05-Mar-26,06-Mar-26,2,Blocked,100%,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Not Started ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,In Progress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Blocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bar Today,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Progress,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Complete,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,%,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blocked,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
